tweet;label
saya makan nasi sambil jeruk purut;hoax
mereka tidak suka saya makan itu;tidak
namun sepertinya tidak demikian kenyataannya;hoax
dimanapun mereka berada saya pun tidak begitu;tidak
hari ini panas sekali;hoax
tetapi mereka tidak tahu;tidak
dia berada di belakang meja itu;hoax
sebelum mereka paham akan ada sesuatu yang dipelajari;tidak
belajar hal ini itu tidak mudah;hoax
namun sepertinya dia tidak menyerah begitu saja;tidak
saya pun tidak mau campur tangan;hoax
karena itu bukan urusan saya;tidak
tapi tetap saja saya diajak untuk ikut;hoax
akhirnya saya berupaya tetap menjaga;tidak
apa yang perlu dijaga;hoax
roda yang berputar tidak akan terbalik;tidak
karena semua yang ada selalu naik dan turun;hoax
tidur menjadi sebuah solusi;tidak
ketika kepenatan memuncak;hoax
sudahlah tidak perlu diambil pusing;tidak
